ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
1990;JUL;REGIÃO SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;55801,227
1990;MAR;REGIÃO NORTE;ACRE;ETANOL HIDRATADO;919,66
1990;AGO;REGIÃO NORTE;AMAPÁ;ETANOL HIDRATADO;635,681
1990;OUT;REGIÃO NORTE;AMAPÁ;ETANOL HIDRATADO;693,288
1990;AGO;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;12765,101
1990;JAN;REGIÃO SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;86811,676
1990;FEV;REGIÃO SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;62897,712
1990;MAR;REGIÃO SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;66619,35
1990;AGO;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;12685,717
1990;JUL;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;14995,965
1990;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;13218,368
1990;MAR;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;35098,275
1990;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;10716,653
1990;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;12019,92
1990;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;15094,918
1990;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;15574,493
1990;DEZ;REGIÃO SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;93002,212
1990;NOV;REGIÃO SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;114548,174
1990;OUT;REGIÃO SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;70852,464
1990;SET;REGIÃO SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;83109,349
1990;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;16932,367
1990;NOV;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;51628,862
1990;OUT;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;31312,518
1990;MAI;REGIÃO NORDESTE;SERGIPE;ETANOL HIDRATADO;5087,71
1990;DEZ;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;39499,185
1990;AGO;REGIÃO NORDESTE;SERGIPE;ETANOL HIDRATADO;5054,716
1990;SET;REGIÃO NORDESTE;SERGIPE;ETANOL HIDRATADO;6848,192
1990;OUT;REGIÃO NORDESTE;SERGIPE;ETANOL HIDRATADO;4969,85
1990;NOV;REGIÃO NORDESTE;SERGIPE;ETANOL HIDRATADO;6796,38
1990;DEZ;REGIÃO NORDESTE;SERGIPE;ETANOL HIDRATADO;5241,075
1990;JAN;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;53118,128
1990;SET;REGIÃO SUDESTE;ESPÍRITO SANTO;ETANOL HIDRATADO;14662,629
1990;FEV;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;32833,851
1990;JUL;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;14339,944
1990;ABR;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;51285,656
1990;MAI;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;33770,004
1990;JUN;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;36979,919
1990;JUL;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;38482,031
1990;AGO;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;35316,895
1990;SET;REGIÃO NORDESTE;BAHIA;ETANOL HIDRATADO;40618,363
1990;JUN;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;12856,757
1990;AGO;REGIÃO SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;71436,877
1990;SET;REGIÃO NORTE;AMAPÁ;ETANOL HIDRATADO;762,374
1990;JUL;REGIÃO SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;81898,805
1990;JUN;REGIÃO NORTE;PARÁ;ETANOL HIDRATADO;12436,147
1990;MAI;REGIÃO NORTE;AMAPÁ;ETANOL HIDRATADO;460,824
1990;JUN;REGIÃO NORTE;AMAPÁ;ETANOL HIDRATADO;821,484
1990;NOV;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;3851,261
1990;OUT;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;2310,102
1990;SET;REGIÃO NORTE;TOCANTINS;ETANOL HIDRATADO;2648,069
1990;DEZ;REGIÃO CENTRO-OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;22427,601
